Account_Balance,Loan_Duration,Credit_History,Loan_Purpose,Loan_Amount,Savings,Years_Employed,Installment_Rate,Gender_and_Status,Other_Debtors_Guarantors,Year_of_Residence,Property,Age,Installment_Plans,Housing,Existing_Credits,Job,Dependents,Telephone,Foreign,Credit_Rating
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A40) car (new),1295,(A61) ... < 100 DM,(A72) ... < 1 year,3,(A92) female : divorced/separated/married,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,48,(A32) existing credits paid back duly till now,(A49) business,4308,(A61) ... < 100 DM,(A72) ... < 1 year,3,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,24,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,1567,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A92) female : divorced/separated/married,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",22,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,24,(A34) critical account/,(A40) car (new),1199,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",60,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,15,(A32) existing credits paid back duly till now,(A40) car (new),1403,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A43) radio/television,1282,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",32,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A14) no checking account,24,(A34) critical account/,(A43) radio/television,2424,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,53,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,30,(A30) no credits taken/,(A49) business,8072,(A65) unknown/ no savings account,(A72) ... < 1 year,2,(A93) male : single,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A141) bank,(A152) own,3,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A32) existing credits paid back duly till now,(A41) car (used),12579,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A92) female : divorced/separated/married,(A101) none,2,(A124) unknown / no property,44,(A143) none,(A153) for free,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,3430,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A143) none,(A152) own,1,(A173) skilled employee / official,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,9,(A34) critical account/,(A40) car (new),2134,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",48,(A143) none,(A152) own,3,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,6,(A32) existing credits paid back duly till now,(A43) radio/television,2647,(A63) 500 <= ... < 1000 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,3,(A121) real estate,44,(A143) none,(A151) rent,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,10,(A34) critical account/,(A40) car (new),2241,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A93) male : single,(A101) none,3,(A121) real estate,48,(A143) none,(A151) rent,2,(A172) unskilled - resident,2,(A191) none,(A202) no,Good
(A12) 0 <= ... < 200 DM,12,(A34) critical account/,(A41) car (used),1804,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,3,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,44,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,10,(A34) critical account/,(A42) furniture/equipment,2069,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,2,(A94) male : married/widowed,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",26,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A202) no,Good
(A11) ... < 0 DM,6,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1374,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A101) none,2,(A121) real estate,36,(A141) bank,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,6,(A30) no credits taken/,(A43) radio/television,426,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A94) male : married/widowed,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",39,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,12,(A31) all credits at this bank paid back duly,(A43) radio/television,409,(A64) .. >= 1000 DM,(A73) 1 <= ... < 4 years,3,(A92) female : divorced/separated/married,(A101) none,3,(A121) real estate,42,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,7,(A32) existing credits paid back duly till now,(A43) radio/television,2415,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A93) male : single,(A103) guarantor,2,(A121) real estate,34,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,60,(A33) delay in paying off in the past,(A49) business,6836,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,63,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,18,(A32) existing credits paid back duly till now,(A49) business,1913,(A64) .. >= 1000 DM,(A72) ... < 1 year,3,(A94) male : married/widowed,(A101) none,3,(A121) real estate,36,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,4020,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",27,(A142) stores,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A32) existing credits paid back duly till now,(A40) car (new),5866,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",30,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A34) critical account/,(A49) business,1264,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,57,(A143) none,(A151) rent,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,12,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1474,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,1,(A122) if not A121 : building society savings agreement/,33,(A141) bank,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,45,(A34) critical account/,(A43) radio/television,4746,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,25,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A14) no checking account,48,(A34) critical account/,(A46) education,6110,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A101) none,3,(A124) unknown / no property,31,(A141) bank,(A153) for free,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A13) ... >= 200 DM /,18,(A32) existing credits paid back duly till now,(A43) radio/television,2100,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A102) co-applicant,2,(A121) real estate,37,(A142) stores,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A13) ... >= 200 DM /,10,(A32) existing credits paid back duly till now,(A44) domestic appliances,1225,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",37,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,9,(A32) existing credits paid back duly till now,(A43) radio/television,458,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,3,(A121) real estate,24,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,30,(A32) existing credits paid back duly till now,(A43) radio/television,2333,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",30,(A141) bank,(A152) own,1,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,1158,(A63) 500 <= ... < 1000 DM,(A73) 1 <= ... < 4 years,3,(A91) male : divorced/separated,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A33) delay in paying off in the past,(A45) repairs,6204,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,4,(A121) real estate,44,(A143) none,(A152) own,1,(A172) unskilled - resident,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,30,(A34) critical account/,(A41) car (used),6187,(A62) 100 <= ... < 500 DM,(A74) 4 <= ... < 7 years,1,(A94) male : married/widowed,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",24,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,48,(A34) critical account/,(A41) car (used),6143,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A92) female : divorced/separated/married,(A101) none,4,(A124) unknown / no property,58,(A142) stores,(A153) for free,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A14) no checking account,11,(A34) critical account/,(A40) car (new),1393,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",35,(A143) none,(A152) own,2,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Good
(A14) no checking account,36,(A32) existing credits paid back duly till now,(A43) radio/television,2299,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",39,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,6,(A32) existing credits paid back duly till now,(A41) car (used),1352,(A63) 500 <= ... < 1000 DM,(A71) unemployed,1,(A92) female : divorced/separated/married,(A101) none,2,(A122) if not A121 : building society savings agreement/,23,(A143) none,(A151) rent,1,(A171) unemployed/ unskilled - non-resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,11,(A34) critical account/,(A40) car (new),7228,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,39,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A43) radio/television,2073,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A102) co-applicant,2,(A121) real estate,28,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A33) delay in paying off in the past,(A42) furniture/equipment,2333,(A65) unknown/ no savings account,(A72) ... < 1 year,4,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,29,(A141) bank,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,27,(A33) delay in paying off in the past,(A41) car (used),5965,(A61) ... < 100 DM,(A75) .. >= 7 years,1,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",30,(A143) none,(A152) own,2,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A43) radio/television,1262,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,18,(A32) existing credits paid back duly till now,(A41) car (used),3378,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,1,(A122) if not A121 : building society savings agreement/,31,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,36,(A33) delay in paying off in the past,(A40) car (new),2225,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,57,(A141) bank,(A153) for free,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,6,(A31) all credits at this bank paid back duly,(A40) car (new),783,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A103) guarantor,2,(A121) real estate,26,(A142) stores,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,6468,(A65) unknown/ no savings account,(A71) unemployed,2,(A93) male : single,(A101) none,1,(A124) unknown / no property,52,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,36,(A34) critical account/,(A43) radio/television,9566,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A142) stores,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,18,(A32) existing credits paid back duly till now,(A40) car (new),1961,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",23,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,36,(A34) critical account/,(A42) furniture/equipment,6229,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A102) co-applicant,4,(A124) unknown / no property,23,(A143) none,(A151) rent,2,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,9,(A32) existing credits paid back duly till now,(A49) business,1391,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A94) male : married/widowed,(A101) none,1,(A121) real estate,27,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,15,(A34) critical account/,(A43) radio/television,1537,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A103) guarantor,4,(A121) real estate,50,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,36,(A30) no credits taken/,(A49) business,1953,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,61,(A143) none,(A153) for free,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,48,(A30) no credits taken/,(A49) business,14421,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,3181,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,27,(A32) existing credits paid back duly till now,(A45) repairs,5190,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,48,(A143) none,(A152) own,4,(A173) skilled employee / official,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A43) radio/television,2171,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",29,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A40) car (new),1007,(A64) .. >= 1000 DM,(A73) 1 <= ... < 4 years,4,(A94) male : married/widowed,(A101) none,1,(A121) real estate,22,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,36,(A32) existing credits paid back duly till now,(A46) education,1819,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,37,(A142) stores,(A153) for free,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,36,(A32) existing credits paid back duly till now,(A43) radio/television,2394,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,36,(A32) existing credits paid back duly till now,(A41) car (used),8133,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A92) female : divorced/separated/married,(A101) none,2,(A122) if not A121 : building society savings agreement/,30,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,7,(A34) critical account/,(A43) radio/television,730,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,46,(A143) none,(A151) rent,2,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,8,(A34) critical account/,(A410) others,1164,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,51,(A141) bank,(A153) for free,2,(A174) management/ self-employed/,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,42,(A34) critical account/,(A49) business,5954,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A92) female : divorced/separated/married,(A101) none,1,(A121) real estate,41,(A141) bank,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,36,(A32) existing credits paid back duly till now,(A46) education,1977,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,40,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A11) ... < 0 DM,12,(A34) critical account/,(A41) car (used),1526,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,66,(A143) none,(A153) for free,2,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,42,(A32) existing credits paid back duly till now,(A43) radio/television,3965,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A93) male : single,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",34,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,11,(A33) delay in paying off in the past,(A43) radio/television,4771,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,51,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,54,(A30) no credits taken/,(A41) car (used),9436,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,39,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,30,(A32) existing credits paid back duly till now,(A42) furniture/equipment,3832,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A94) male : married/widowed,(A101) none,1,(A122) if not A121 : building society savings agreement/,22,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,5943,(A65) unknown/ no savings account,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",44,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,15,(A32) existing credits paid back duly till now,(A43) radio/television,1213,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,3,(A122) if not A121 : building society savings agreement/,47,(A142) stores,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,18,(A32) existing credits paid back duly till now,(A49) business,1568,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,3,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,24,(A143) none,(A151) rent,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A410) others,1755,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A92) female : divorced/separated/married,(A103) guarantor,4,(A121) real estate,58,(A143) none,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,10,(A32) existing credits paid back duly till now,(A43) radio/television,2315,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A121) real estate,52,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A14) no checking account,12,(A34) critical account/,(A49) business,1412,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A103) guarantor,2,(A121) real estate,29,(A143) none,(A152) own,2,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
